Time,Speed,TargetSpeed,VirtualTargetSpeed,StepIndex,Torque,Slope,State
17.65,14.4516,15,15.8315,7,62.5003,5,0
17.7,14.4601,15,15.8315,7,62.0971,5,0
17.75,14.4681,15,15.8315,7,61.7147,5,0
17.8,14.4758,15,15.8315,7,61.352,5,0
17.85,14.483,15,15.8315,7,61.0079,5,0
17.9,14.4899,15,15.8315,7,60.6815,5,0
17.95,14.4964,15,15.8315,7,60.3719,5,0
18,14.5026,15,15.8315,7,60.0783,5,0
18.05,14.5085,15,15.8315,7,59.7997,5,0
18.1,14.5141,15,15.8315,7,59.5355,5,0
18.15,14.5193,15,15.8315,7,59.2849,5,0
18.2,14.5244,15,15.8315,7,59.0472,5,0
18.25,14.5291,15,15.8315,7,58.8217,5,0
18.3,14.5336,15,15.8315,7,58.6078,5,0
18.35,14.5379,15,15.8315,7,58.4049,5,0
18.4,14.542,15,15.8315,7,58.2124,5,0
18.45,14.5458,15,15.8315,7,58.0299,5,0
18.5,14.5494,15,15.8315,7,57.8567,5,0
18.55,14.5529,15,15.8315,7,57.6925,5,0
18.6,14.5562,15,15.8315,7,57.5367,5,0
18.65,14.5593,15,15.8315,7,57.3889,5,0
18.7,14.5623,15,15.8315,7,57.2487,5,0
18.75,14.5651,15,15.8315,7,57.1158,5,0
18.8,14.5677,15,15.8315,7,56.9896,5,0
18.85,14.5702,15,15.8315,7,56.87,5,0
18.9,14.5726,15,15.8315,7,56.7565,5,0
18.95,14.5749,15,15.8315,7,56.6489,5,0
19,14.5771,15,15.8315,7,56.5468,5,0
19.05,14.5791,15,15.8315,7,56.45,5,0
19.1,14.581,15,15.8315,7,56.3581,5,0
19.15,14.5829,15,15.8315,7,56.271,5,0
19.2,14.5846,15,15.8315,7,56.1883,5,0
19.25,14.5863,15,15.8315,7,56.1099,5,0
19.3,14.5878,15,15.8315,7,56.0356,5,0
19.35,14.5893,15,15.8315,7,55.965,5,0
19.4,14.5979,15,15.9752,8,62.3663,5,0
19.45,14.6061,15,15.9752,8,61.9794,5,0
19.5,14.6138,15,15.9752,8,61.6124,5,0
19.55,14.6211,15,15.9752,8,61.2644,5,0
19.6,14.6281,15,15.9752,8,60.9342,5,0
19.65,14.6347,15,15.9752,8,60.621,5,0
19.7,14.641,15,15.9752,8,60.324,5,0
